"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/en/medya","200","Media Gallery - Dernek","","http://185.23.72.228/en/medya"
"page","http://185.23.72.228/en/misyonumuz","404","","HTTP hatasÄ±","http://185.23.72.228/en/misyonumuz"
"page","http://185.23.72.228/en/our-mission","200","Our Mission","","http://185.23.72.228/en/our-mission"
"page","http://185.23.72.228/en/our-vision","200","Our Vision","","http://185.23.72.228/en/our-vision"
"page","http://185.23.72.228/en/projeler","200","Projects - Dernek","","http://185.23.72.228/en/projeler"
"page","http://185.23.72.228/en/sepet","200","Donation Basket - Dernek","","http://185.23.72.228/en/sepet"
"page","http://185.23.72.228/en/tr","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr"
"page","http://185.23.72.228/en/tr/bagis","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis"
"page","http://185.23.72.228/en/tr/bagis-kategorileri","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis-kategorileri"
"page","http://185.23.72.228/en/tr/bagis-kategorileri/egitim","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis-kategorileri/egitim"
"page","http://185.23.72.228/en/tr/bagis-kategorileri/genel-bagis","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis-kategorileri/genel-bagis"
"page","http://185.23.72.228/en/tr/bagis-kategorileri/insani-yardim","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis-kategorileri/insani-yardim"
"page","http://185.23.72.228/en/tr/bagis-kategorileri/saglik","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/bagis-kategorileri/saglik"
"page","http://185.23.72.228/en/tr/canli-yayin","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/canli-yayin"
"page","http://185.23.72.228/en/tr/cerez-politikasi","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/cerez-politikasi"
"page","http://185.23.72.228/en/tr/etkinlikler","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/etkinlikler"
"page","http://185.23.72.228/en/tr/faaliyet-alanlari","404","","HTTP hatasÄ±","http://185.23.72.228/en/tr/faaliyet-alanlari"
